,GEOID,number_of_facilities_in_tract,distance_nearest_facility
0,17031171100,0.0,2477.3605570055315
1,17031191301,0.0,597.4598235263088
2,17031191302,2.0,0.0
3,17031190701,0.0,1210.3591019329353
4,17031252102,0.0,1173.1198395672898
5,17031250200,4.0,0.0
6,17031151002,0.0,215.91140097509006
7,17031831300,0.0,178.4255986504706
8,17031252202,0.0,649.6741640521934
9,17031160100,0.0,1502.4072324198814
10,17031130200,4.0,0.0
11,17031140400,0.0,1435.7876037705894
12,17031160300,0.0,882.0914428548724
13,17031842100,0.0,76.58166330883279
14,17031300500,0.0,1148.884616326456
15,17031221000,0.0,368.8595031686737
16,17031650100,0.0,1.4668097080213145
17,17031650302,0.0,824.324893351274
18,17031160800,0.0,40.302677399123915
19,17031210601,0.0,785.3798538744943
20,17031220602,0.0,1412.1961928277444
21,17031221100,0.0,437.5616516931367
22,17031230200,0.0,243.05366210867555
23,17031841700,0.0,1075.6308282911968
24,17031222500,0.0,1204.3796767826946
25,17031271800,0.0,2399.808784226972
26,17031832400,0.0,1617.418688134038
27,17031242500,0.0,1531.17795805469
28,17031580700,0.0,340.5776649835802
29,17031241200,0.0,1541.9406888666522
30,17031050800,0.0,768.453532804263
31,17031700100,0.0,253.40507101393464
32,17031840300,0.0,781.1655685377027
33,17031051200,0.0,746.94137249892
34,17031030300,0.0,507.18700954611427
35,17031830600,9.0,0.0
36,17031241500,0.0,407.8358199816666
37,17031710400,0.0,167.16788150776165
38,17031030500,0.0,1417.0386054638657
39,17031031700,0.0,3241.4911960073077
40,17031061200,0.0,2224.697213342525
41,17031590700,0.0,479.48723788837907
42,17031600700,0.0,831.2078522059389
43,17031071000,0.0,653.0547372043906
44,17031062100,0.0,2645.4990346490026
45,17031070300,0.0,1316.6799627029432
46,17031681400,0.0,1754.1154958469087
47,17031710800,0.0,804.1073305791311
48,17031839700,0.0,838.4373749909374
49,17031530300,3.0,0.0
50,17031070103,0.0,2035.1267273927547
51,17031839800,0.0,474.30360673238965
52,17031280100,0.0,60.564591126997236
53,17031842600,25.0,0.0
54,17031841900,0.0,806.2694464462196
55,17031834600,0.0,627.916969951307
56,17031691200,0.0,1013.7441688925675
57,17031081201,0.0,1214.9620049183404
58,17031380700,0.0,825.2598830417413
59,17031400400,0.0,1294.4512300871168
60,17031690400,0.0,378.346426668411
61,17031691000,0.0,1201.902150622326
62,17031490300,0.0,1704.638153263306
63,17031381900,0.0,2252.8853527902343
64,17031440202,0.0,1676.970176652641
65,17031490400,0.0,1315.0734643552257
66,17031420800,0.0,1470.513450338171
67,17031440101,0.0,2236.3707179676444
68,17031440102,0.0,1215.2781895643423
69,17031841800,0.0,1515.6658011948814
70,17031834400,0.0,1882.9798133642932
71,17031430300,0.0,2640.3092429962016
72,17031430200,0.0,3142.9183442509743
73,17031430900,0.0,3498.1584899146956
74,17031430800,0.0,3818.6913044928983
75,17031480400,0.0,392.3261041568567
76,17031171000,0.0,2815.5504715297607
77,17031190401,0.0,1691.9016507013357
78,17031150401,0.0,1450.4330790659765
79,17031151200,0.0,2222.8618510309234
80,17031252201,0.0,845.4040514255931
81,17031251100,0.0,457.53968808533153
82,17031251600,0.0,455.82988710153677
83,17031251700,2.0,0.0
84,17031161100,2.0,0.0
85,17031230600,4.0,0.0
86,17031220901,0.0,371.123209346611
87,17031230400,0.0,53.201966851100934
88,17031570400,0.0,1109.804802224628
89,17031271400,0.0,1245.7916546395077
90,17031291200,0.0,1357.1195119441509
91,17031700401,0.0,1094.730628233147
92,17031836600,0.0,1104.6052544081117
93,17031140100,0.0,2519.639323717221
94,17031220400,0.0,1061.9150894633617
95,17031020601,0.0,1747.8683415556482
96,17031240900,0.0,904.8837887269675
97,17031837000,0.0,2034.7468677132572
98,17031220300,0.0,740.457512763925
99,17031210100,0.0,121.34925544766845
100,17031040202,0.0,2422.570001584831
101,17031843300,0.0,1212.5544270122978
102,17031630500,0.0,392.8615883063788
103,17031282800,0.0,1336.3138472728926
104,17031660800,0.0,1394.6534242184973
105,17031242400,0.0,1249.446299415985
106,17031241300,0.0,1340.0121389487872
107,17031040600,0.0,2787.291756551881
108,17031050500,0.0,778.2913759225206
109,17031051100,0.0,498.3381471706575
110,17031832200,0.0,987.6252059463408
111,17031240500,0.0,1139.919313252835
112,17031242300,0.0,1058.6500614784452
113,17031611500,0.0,182.78598574244518
114,17031830900,0.0,141.92390789354977
115,17031720600,0.0,3122.0003592903313
116,17031671300,0.0,1075.3700672394393
117,17031030400,0.0,1317.0632281877124
118,17031240200,0.0,272.00692512103365
